Sequence,RawData,Position384,OriginalSequence
453,26.483,Plate 2 N15,695
461,25.1318,Plate 2 P15,696
469,25.2947,Plate 2 B16,697
477,27.8987,Plate 2 D16,698
485,27.9895,Plate 2 F16,699
493,22.3937,Plate 2 H16,700
501,25.5674,Plate 2 J16,701
509,27.7625,Plate 2 L16,702
517,24.7451,Plate 2 N16,703
525,23.9111,Plate 2 P16,704
533,25.82,Plate 2 B17,705
541,25.4125,Plate 2 D17,706
549,24.3373,Plate 2 F17,707
557,25.0253,Plate 2 H17,708
565,23.3175,Plate 2 J17,709
573,24.3685,Plate 2 L17,710
581,26.5407,Plate 2 N17,711
589,26.3391,Plate 2 P17,712
597,23.3739,Plate 2 B18,713
605,23.4959,Plate 2 D18,714
613,21.389,Plate 2 F18,715
621,25.8169,Plate 2 H18,716
629,22.4863,Plate 2 J18,717
637,24.3184,Plate 2 L18,718
DMSO,18.5986,Plate 2 N18,719
645,22.6655,Plate 2 P18,720
653,27.399,Plate 2 B19,721
661,22.8143,Plate 2 D19,722
669,23.0041,Plate 2 F19,723
677,23.7319,Plate 2 H19,724
685,22.0125,Plate 2 J19,725
693,31.1965,Plate 2 L19,726
701,22.16,Plate 2 N19,727
709,45.665,Plate 2 P19,728
717,23.8278,Plate 2 B20,729
725,26.3625,Plate 2 D20,730
733,23.7271,Plate 2 F20,731
741,30.0997,Plate 2 H20,732
749,24.4215,Plate 2 J20,733
757,27.7206,Plate 2 L20,734
